id;chl_a;ddx;ddx-chla;treatment;position;treatment_position
tip_Shade9_2;61.44166904;14.02520275;0.228268583;Shade;tip;Shade tip
tip_Shade9_3;34.46949842;8.463939947;0.245548683;Shade;tip;Shade tip
tip_Shade9_4;46.57310995;11.32002272;0.243059197;Shade;tip;Shade tip
body_Shade9_1;49.58025104;11.29404815;0.227793283;Shade;body;Shade body
body_Shade9_2;41.56811575;8.02132904;0.19296831;Shade;body;Shade body
body_Shade9_3;45.02330898;9.337006079;0.207381605;Shade;body;Shade body
body_Shade9_4;54.01730027;11.88880698;0.22009258;Shade;body;Shade body
tip_Control1_1;26.44460315;7.969010191;0.301347316;Control;tip;Control tip
tip_Control1_2;25.05939684;5.903548302;0.235582219;Control;tip;Control tip
tip_Control1_3;29.00290247;7.704526389;0.265646736;Control;tip;Control tip
body_Control1_1;36.43028163;7.628177637;0.209391125;Control;body;Control body
body_Control1_2;33.05842945;8.259903353;0.249857706;Control;body;Control body
body_Control1_3;32.43371462;9.638782518;0.297184045;Control;body;Control body
body_Control1_4;35.23088316;9.346648706;0.265297031;Control;body;Control body
tip_Control2_1;25.51116353;6.54261302;0.256460785;Control;tip;Control tip
tip_Control2_2;17.77911773;4.36361359;0.245434765;Control;tip;Control tip
tip_Control2_3;24.82707308;6.575584783;0.264855417;Control;tip;Control tip
tip_Control2_4;17.57199651;3.052669015;0.173723516;Control;tip;Control tip
body_Control2_1;26.08585891;7.334001631;0.281148559;Control;body;Control body
body_Control2_2;18.44932885;5.583265823;0.302627042;Control;body;Control body
body_Control2_3;22.6833263;5.959516827;0.26272676;Control;body;Control body
body_Control2_4;23.12405141;6.720345122;0.29062144;Control;body;Control body
tip_Control3_1;14.3743052;1.804105261;0.125509041;Control;tip;Control tip
tip_Control3_2;14.47119843;2.61352386;0.180601757;Control;tip;Control tip
tip_Control3_3;17.43314555;3.924369825;0.225109681;Control;tip;Control tip
tip_Control3_4;28.08513403;9.295824638;0.33098737;Control;tip;Control tip
body_Control3_1;30.30298123;9.541817707;0.314880494;Control;body;Control body
body_Control3_2;34.90361286;9.171371227;0.262762805;Control;body;Control body
body_Control3_3;31.62406202;9.052859466;0.286264916;Control;body;Control body
body_Control3_4;37.81883228;10.53163141;0.278475849;Control;body;Control body
tip_Control4_1;26.6749297;6.387674821;0.239463605;Control;tip;Control tip
tip_Control4_2;25.60683136;5.827593569;0.227579644;Control;tip;Control tip
tip_Control4_3;17.95636665;2.618117514;0.145804414;Control;tip;Control tip
tip_Control4_4;27.97557639;7.266574355;0.259747083;Control;tip;Control tip
body_Control4_1;40.84295047;9.397330912;0.230084526;Control;body;Control body
body_Control4_2;41.8602318;8.93501578;0.213448789;Control;body;Control body
body_Control4_3;46.20536424;12.21164166;0.264290562;Control;body;Control body
body_Control4_4;33.87552337;10.67105069;0.3150077;Control;body;Control body
body_Control4_5;39.86935787;9.950700551;0.249582664;Control;body;Control body
tip_Control5_1;16.33727354;5.515121034;0.337579035;Control;tip;Control tip
tip_Control5_2;21.45052301;6.084613864;0.283658066;Control;tip;Control tip
tip_Control5_3;21.75582068;4.974570676;0.228654701;Control;tip;Control tip
tip_Control5_4;34.97619159;6.930200725;0.198140518;Control;tip;Control tip
body_Control5_1;31.4788774;7.504711074;0.23840466;Control;body;Control body
body_Control5_2;41.37657225;9.732753046;0.235223764;Control;body;Control body
body_Control5_3;26.30390762;3.695552684;0.140494437;Control;body;Control body
body_Control5_4;30.19855277;7.609860866;0.251994224;Control;body;Control body
tip_Control6_1;17.06381311;3.840782928;0.225083509;Control;tip;Control tip
tip_Control6_2;20.38718013;4.536597057;0.222522047;Control;tip;Control tip
tip_Control6_3;16.92660408;1.133126881;0.066943545;Control;tip;Control tip
tip_Control6_4;20.68156171;2.719659835;0.131501667;Control;tip;Control tip
body_Control6_1;29.00179753;9.859154843;0.339949785;Control;body;Control body
body_Control6_2;22.39016489;6.145952222;0.274493388;Control;body;Control body
body_Control6_3;20.84428747;6.709638837;0.321893413;Control;body;Control body
body_Control6_4;23.14861102;7.229570602;0.312311205;Control;body;Control body
body_Control6_5;24.5101981;8.903145805;0.363242507;Control;body;Control body
tip_Control7_1;14.72107576;6.157842679;0.418301134;Control;tip;Control tip
tip_Control7_2;15.85539868;4.804999208;0.303051302;Control;tip;Control tip
tip_Control7_3;29.70479199;7.79008277;0.262250036;Control;tip;Control tip
tip_Control7_4;20.25737218;6.850703213;0.338183213;Control;tip;Control tip
body_Control7_1;28.73709227;7.573445781;0.263542522;Control;body;Control body
body_Control7_2;33.92254993;10.38290138;0.306076678;Control;body;Control body
body_Control7_3;30.60883993;6.187142945;0.20213582;Control;body;Control body
body_Control7_4;29.61730999;6.792834376;0.229353523;Control;body;Control body
body_Control7_5;40.00962995;11.04965023;0.276174767;Control;body;Control body
tip_Control8_1;25.15958231;8.573839459;0.340778291;Control;tip;Control tip
tip_Control8_2;23.31040007;6.84625371;0.293699537;Control;tip;Control tip
tip_Control8_3;24.48283424;7.912577981;0.323188807;Control;tip;Control tip
tip_Control8_4;19.14061537;3.831969052;0.200200933;Control;tip;Control tip
body_Control8_1;20.84686496;4.833430007;0.231854047;Control;body;Control body
body_Control8_2;23.12488867;7.744126586;0.334882762;Control;body;Control body
body_Control8_3;27.19612773;9.361293574;0.344214208;Control;body;Control body
body_Control8_4;34.18609779;10.90612826;0.319022321;Control;body;Control body
body_Control8_5;42.64082647;13.77191007;0.322974745;Control;body;Control body
tip_Control9_1;19.2332764;5.162496129;0.268414805;Control;tip;Control tip
tip_Control9_2;18.68417089;4.18563906;0.224020594;Control;tip;Control tip
tip_Control9_3;17.73092868;5.026644414;0.283495834;Control;tip;Control tip
tip_Control9_4;18.79848817;4.655231294;0.2476386;Control;tip;Control tip
body_Control9_1;26.54642012;9.414173725;0.354630631;Control;body;Control body
body_Control9_2;25.60521456;10.35811352;0.404531409;Control;body;Control body
body_Control9_3;24.91354735;10.86196179;0.435986158;Control;body;Control body
body_Control9_4;30.80626029;12.60748944;0.40925089;Control;body;Control body
body_Control9_5;25.89281378;10.60133369;0.409431504;Control;body;Control body
